host_response_time,host_neighbourhood,property_type,room_type,bed_type,cancellation_policy,zipcode,host_acceptance_rate,price,security_deposit,cleaning_fee,extra_people,reviews_per_month,host_response_rate,accommodates,bathrooms,bedrooms,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,require_guest_profile_picture,require_guest_phone_verification
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,100,140,200,30,0,6.5,1,2,1,1,0,0,3,233,169,94,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,89,140,200,50,0,2,1,2,1,0,4,10,13,195,94,98,1,1
within a few hours,Duboce Triangle,House,Private room,Real Bed,flexible,94114,83,140,200,40,25,0.94,1,2,1,1,0,22,50,140,1,100,0,0
within a day,Bernal Heights,Apartment,Entire home/apt,Real Bed,strict,94112,83,140,200,85,10,1.15,1,4,1,0,3,12,20,270,70,95,0,0
within a day,Duboce Triangle,Apartment,Private room,Real Bed,strict,94102,50,141,200,45,25,2.78,1,2,2,1,0,0,0,88,53,95,0,0
within a day,Crocker Amazon,Apartment,Entire home/apt,Real Bed,moderate,94014,93,143,200,50,0,5.02,0.91,4,1,2,3,13,36,311,97,95,0,0
within an hour,Tenderloin,Apartment,Entire home/apt,Pull-out Sofa,strict,94102,90,145,200,50,35,1.35,0.9,2,1,0,17,17,17,24,13,92,0,0
within a day,Oceanview,Apartment,Entire home/apt,Real Bed,moderate,94103,100,145,200,60,0,1,0.93,4,1,1,13,33,63,63,1,40,0,0
within an hour,Mission District,Condominium,Private room,Real Bed,flexible,94110,67,145,200,50,0,0.64,1,1,1,1,0,1,31,206,17,95,0,0
within a few hours,Potrero Hill,Apartment,Private room,Real Bed,moderate,94107,50,145,200,100,30,0.62,1,2,2,1,20,50,80,355,22,94,1,1
within an hour,Excelsior,House,Entire home/apt,Real Bed,moderate,94112,100,148,200,100,20,5.12,1,5,1,2,0,0,0,228,55,99,0,0
within an hour,Western Addition,Apartment,Entire home/apt,Real Bed,moderate,94117,100,149,200,99,15,0.57,1,3,1,1,3,19,44,52,27,93,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,100,149,200,59,25,4.62,1,4,1,0,7,30,49,320,12,80,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,92,149,200,75,0,0.9,0.8,2,1,1,0,0,29,29,26,93,1,1
a few days or more,South Beach,Apartment,Entire home/apt,Real Bed,flexible,94107,67,149,200,50,79,0.26,0.4,4,1,1,0,0,0,0,9,88,0,0
within an hour,Potrero Hill,House,Private room,Real Bed,strict,94107,100,149,200,79,99,1.56,1,2,1,1,18,48,72,154,43,100,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,100,150,200,55,25,2.79,1,2,1,1,16,33,57,332,69,100,0,0
within an hour,Inner Sunset,House,Entire home/apt,Real Bed,moderate,94116,100,150,200,50,0,1.15,1,2,1,1,0,11,37,300,12,97,0,0
a few days or more,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,100,150,200,60,0,0.99,0.29,2,1,1,3,3,3,200,38,97,0,0
within a few hours,Mission District,House,Private room,Real Bed,strict,94110,100,150,200,35,0,3.28,1,2,1,1,0,11,25,148,69,99,0,0
within an hour,Mission District,Apartment,Private room,Futon,moderate,94110,100,150,200,100,15,2.88,1,6,1,1,5,15,42,315,82,93,0,0
within an hour,Mission District,House,Entire home/apt,Real Bed,moderate,94110,100,150,200,150,50,0.67,1,5,1,4,0,0,0,0,26,90,0,1
within an hour,Sunnyside,House,Private room,Real Bed,strict,94127,100,150,200,20,20,4.01,1,2,1,1,7,25,48,135,19,96,0,0
within a few hours,Richmond District,House,Private room,Real Bed,flexible,94118,100,150,200,50,25,1.36,1,2,1,1,0,0,0,182,2,100,0,0
within an hour,Marina,Apartment,Entire home/apt,Real Bed,moderate,94123,100,150,200,100,0,2.63,1,3,1,1,0,3,3,4,121,99,0,0
within a day,SoMa,Apartment,Entire home/apt,Real Bed,strict,94103,100,150,200,75,0,2.62,1,4,1,1,0,16,46,321,97,93,0,0
within a few hours,Twin Peaks,Apartment,Private room,Real Bed,strict,94131,88,150,200,50,0,3.61,1,2,1,1,0,0,7,7,13,98,0,0
within an hour,Hayes Valley,Apartment,Entire home/apt,Real Bed,moderate,94102,100,150,200,60,50,0.42,1,4,2,2,0,0,0,0,6,97,0,0
within a few hours,Western Addition/NOPA,Cabin,Private room,Real Bed,moderate,94115,97,150,200,20,30,2.89,1,3,1,1,1,5,10,75,99,98,1,1
within an hour,Potrero Hill,Apartment,Entire home/apt,Real Bed,strict,94107,100,154,200,79,25,2.11,1,2,1,0,8,32,62,62,40,81,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94114,100,155,200,80,0,4.62,1,2,1,1,8,26,55,300,36,93,0,0
within an hour,Bernal Heights,House,Entire home/apt,Real Bed,moderate,94110,100,155,200,95,20,1.53,1,4,1,2,15,44,74,266,14,96,0,0
within a day,Outer Sunset,House,Entire home/apt,Real Bed,moderate,94116,100,155,200,55,0,3.35,1,2,1,0,4,14,26,294,18,94,0,0
within an hour,Richmond District,House,Entire home/apt,Real Bed,moderate,94118,100,155,200,75,0,2.71,1,2,1,1,20,47,71,72,27,92,0,0
within an hour,Bernal Heights,Apartment,Entire home/apt,Real Bed,moderate,94110,100,158,200,70,25,3.71,1,4,1,1,8,25,51,319,71,94,0,0
within an hour,Pacific Heights,Apartment,Private room,Real Bed,strict,94123,100,159,200,19,79,0.46,1,1,1,1,0,14,44,319,1,100,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,100,159,200,40,0,3.24,0.7,2,1,0,3,21,46,46,119,93,0,0
within an hour,Richmond District,House,Entire home/apt,Real Bed,strict,94121,100,160,200,100,0,5.39,1,4,1,0,2,3,9,212,44,95,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94103,79,160,200,40,0,4.79,1,2,0.5,1,13,37,64,339,173,96,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,93,160,200,50,30,0.3,0.73,3,1,1,16,39,65,155,7,71,0,0
within a few hours,Pacific Heights,Apartment,Private room,Real Bed,moderate,94115,67,160,200,50,0,1.57,1,2,1,1,0,0,14,237,33,89,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,100,160,200,40,60,0.31,1,3,1,1,0,0,0,182,11,96,0,0
within a few hours,Duboce Triangle,House,Private room,Real Bed,strict,94114,83,160,200,60,25,0.65,1,2,1,1,7,30,56,146,2,100,0,0
within a day,Bernal Heights,Apartment,Entire home/apt,Real Bed,strict,94110,96,160,200,100,0,1.16,1,4,1,1,0,4,18,270,48,95,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94110,100,164,200,55,100,4.79,1,2,1,1,2,2,10,83,134,95,1,1
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94103,100,165,200,55,25,6.15,0.97,4,1,0,0,0,0,28,25,85,0,0
within an hour,Diamond Heights,Apartment,Entire home/apt,Real Bed,strict,94123,99,165,200,75,10,1.33,1,2,1,1,3,8,13,232,75,88,1,1
within a day,Outer Sunset,Apartment,Entire home/apt,Real Bed,flexible,94122,57,165,200,50,25,0.37,0.9,3,1,1,0,0,0,0,5,88,0,0
within an hour,SoMa,Apartment,Entire home/apt,Real Bed,strict,94103,86,169,200,70,0,2.43,1,3,1,1,1,8,8,190,41,85,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94121,100,170,200,35,20,0.6,1,5,1,2,0,4,4,4,21,93,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,77,170,200,100,0,0.66,0.95,2,1,1,30,60,90,365,35,97,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,flexible,94110,59,170,200,15,30,1,1,2,1,1,3,3,5,5,10,96,0,0
within a few hours,Potrero Hill,Apartment,Shared room,Real Bed,flexible,94107,100,170,200,55,0,2.7,1,2,1,1,0,0,0,182,62,98,0,0
within an hour,SoMa,Apartment,Entire home/apt,Real Bed,strict,94103,100,170,200,75,30,6.69,0.93,4,1,2,0,16,30,291,27,83,0,0
within an hour,Potrero Hill,Apartment,Entire home/apt,Real Bed,strict,94107,100,170,200,125,25,3.87,1,3,1,1,10,40,70,163,123,98,1,1
within a day,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,86,170,200,45,15,0.83,0.7,4,1,1,0,0,0,0,7,97,0,0
within an hour,Lower Haight,Apartment,Entire home/apt,Pull-out Sofa,moderate,94117,100,175,200,75,0,0.89,1,2,1,0,8,8,8,8,13,100,0,0
within a day,Civic Center,Condominium,Entire home/apt,Real Bed,strict,94102,100,175,200,100,0,0.08,1,3,1,0,29,59,89,364,3,90,0,0
within a day,Inner Sunset,House,Entire home/apt,Real Bed,strict,94122,64,175,200,100,50,1.41,0.8,4,1,3,7,7,7,189,3,100,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94103,100,175,200,75,0,3.28,1,2,1,0,13,38,65,72,105,98,1,1
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,100,175,200,75,25,0.73,1,2,1,1,6,6,6,6,14,96,0,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94118,72,175,200,75,0,2.92,1,2,1,1,6,12,33,116,23,100,1,1
within a day,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94118,85,175,200,150,0,0.21,0.8,2,1,1,7,28,58,329,7,100,0,0
within a few hours,Marina,Apartment,Entire home/apt,Real Bed,strict,94123,100,175,200,80,0,0.35,1,2,1,1,6,7,7,20,16,96,0,0
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,100,175,200,75,20,4.95,1,4,1,1,0,5,11,150,138,98,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,85,179,200,100,20,1.85,1,4,1,2,0,10,18,293,112,94,0,1
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,100,179,200,70,20,3.44,1,4,1,1,3,4,5,37,48,98,0,0
within an hour,Twin Peaks,House,Entire home/apt,Real Bed,strict,94114,100,180,200,90,20,5.39,1,4,1,1,2,7,8,8,53,99,0,0
within a few hours,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,45,180,200,100,0,1.09,0.88,2,1,1,8,26,50,318,10,98,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,40,184,200,80,0,0.65,0.89,2,1,2,3,3,3,211,17,99,0,0
within a few hours,Haight-Ashbury,House,Entire home/apt,Real Bed,flexible,94117,90,185,200,50,5,4.83,1,3,1,1,0,1,3,204,126,95,0,0
within a few hours,Alamo Square,Apartment,Private room,Real Bed,flexible,94117,88,185,200,40,25,0.27,0.9,2,1,1,25,50,78,353,6,93,1,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,100,185,200,100,0,4.8,1,6,1,0,4,18,46,317,75,97,0,0
within an hour,Parkside,House,Entire home/apt,Real Bed,strict,94116,94,189,200,50,0,3.69,1,4,1,2,6,18,48,48,78,91,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,71,189,200,40,20,1.07,1,5,1,1,3,3,3,3,27,91,0,0
within an hour,Mission District,House,Entire home/apt,Real Bed,strict,94110,100,189,200,100,0,3.92,1,2,1,2,0,6,6,28,37,98,0,0
within an hour,Balboa Terrace,Apartment,Entire home/apt,Real Bed,strict,94127,91,189,200,95,45,1.74,1,6,1,2,5,26,56,324,8,93,0,0
within a day,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94108,87,189,200,59,0,1.19,1,2,1,1,30,57,57,239,70,97,0,0
within an hour,Crocker Amazon,Apartment,Entire home/apt,Real Bed,strict,94112,100,190,200,75,25,5.42,1,6,1,2,1,3,13,277,43,87,0,0
within a few hours,Mission District,Apartment,Private room,Real Bed,moderate,94110,70,190,200,75,25,0.94,1,2,1,1,30,60,90,180,24,95,0,1
within a day,Potrero Hill,Apartment,Entire home/apt,Real Bed,strict,94107,100,190,200,90,0,2.91,0.9,2,1,1,4,17,32,290,111,99,1,1
within a day,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,100,190,200,80,0,0.15,1,3,1,2,0,0,0,0,4,100,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94110,100,190,200,85,15,2.95,1,4,1,1,3,9,10,10,50,97,0,0
within an hour,Haight-Ashbury,Condominium,Entire home/apt,Real Bed,moderate,94117,100,195,200,82,0,4.69,1,2,1,0,2,6,10,79,10,100,0,0
within a day,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,100,195,200,100,20,2.16,1,4,1,1,5,17,28,229,128,98,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94117,77,195,200,100,0,4.25,0.7,2,1,1,8,38,68,343,15,100,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,100,195,200,150,40,0.1,1,3,1,2,2,2,2,185,4,100,0,0
within a few hours,Balboa Terrace,House,Entire home/apt,Real Bed,moderate,94112,100,195,200,80,50,2.18,1,4,1,2,4,8,21,268,52,88,0,0
within a few hours,Nob Hill,Apartment,Entire home/apt,Real Bed,moderate,94118,100,195,200,100,0,2.31,1,6,1,3,5,16,37,59,14,86,0,0
within an hour,The Castro,House,Entire home/apt,Real Bed,strict,94114,77,195,200,80,0,1.14,1,3,1,1,2,5,20,275,81,94,0,0
within a few hours,Bernal Heights,House,Entire home/apt,Real Bed,strict,94110,95,195,200,80,0,3.33,1,4,1,2,0,2,15,97,6,97,0,0
within a day,South Lake Tahoe,House,Entire home/apt,Real Bed,strict,94116,90,195,200,156,20,3.61,0.93,6,2,3,1,1,1,29,102,94,0,0
within an hour,Russian Hill,Apartment,Entire home/apt,Real Bed,strict,94109,86,196,200,75,0,2.27,1,2,1,0,30,45,75,348,28,97,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,100,198,200,100,50,2.9,1,4,1,1,9,36,66,299,86,94,0,0
within a day,North Beach,Apartment,Entire home/apt,Real Bed,moderate,94133,75,198,200,125,20,0.11,0.75,2,1,1,7,13,13,196,3,90,0,0
within an hour,Crocker Amazon,Apartment,Entire home/apt,Real Bed,strict,94112,100,199,200,75,25,5.51,1,6,1,2,5,13,22,289,27,76,0,0
within a few hours,Fisherman's Wharf,Apartment,Entire home/apt,Real Bed,flexible,94109,100,199,200,60,0,2,1,2,1,1,20,20,20,20,2,90,0,0
within an hour,Mission Terrace,Apartment,Entire home/apt,Real Bed,moderate,94112,96,200,200,85,10,3.48,1,4,1,2,12,35,65,340,100,94,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94131,100,200,200,50,0,1,1,2,1,0,0,0,0,0,1,100,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,100,200,200,80,0,3.58,1,4,1.5,2,1,1,1,104,142,94,0,1
within a few hours,Sunnyside,Apartment,Entire home/apt,Real Bed,strict,94127,90,200,200,100,10,0.75,0.9,5,1.5,2,12,29,59,59,16,94,0,0
within an hour,Richmond District,House,Private room,Real Bed,strict,94118,100,200,200,50,25,0.37,1,4,1,1,14,44,74,349,5,100,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94118,50,200,200,70,0,0.76,1,2,1,1,5,5,5,5,17,96,0,0
within an hour,Marina,Apartment,Entire home/apt,Real Bed,moderate,94123,100,200,200,20,0,2.76,1,2,1,1,0,0,0,18,101,98,0,1
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,100,200,200,50,25,1.52,1,3,1,0,0,23,53,328,68,97,0,0
within an hour,Bernal Heights,House,Entire home/apt,Real Bed,strict,94110,100,200,200,75,20,1.43,1,6,1,2,2,9,31,285,19,99,1,0
within a few hours,Bernal Heights,House,Entire home/apt,Real Bed,strict,94110,100,200,200,100,25,0.14,1,6,1.5,3,0,0,0,182,5,90,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,moderate,94109,71,200,200,100,20,2.44,1,4,1,2,0,0,0,0,7,100,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94108,100,200,200,70,0,0.16,0.78,2,1,0,0,10,40,315,2,100,0,0
within a day,Nob Hill,Apartment,Entire home/apt,Real Bed,moderate,94109,100,200,200,40,0,0.39,1,2,1,0,0,0,0,0,4,95,0,0
within a day,Outer Sunset,Apartment,Entire home/apt,Real Bed,strict,94122,67,200,200,150,0,0.25,0.89,3,1,2,21,32,62,329,1,100,0,0
within a few hours,Alamo Square,Apartment,Entire home/apt,Real Bed,moderate,94117,44,200,200,60,0,1.45,1,2,1,1,18,43,66,96,14,99,0,0
within a day,Hayes Valley,Apartment,Entire home/apt,Real Bed,moderate,94102,100,200,200,83,0,0.7,0.9,4,2,2,1,1,1,1,19,86,1,1
within a day,Inner Sunset,House,Entire home/apt,Real Bed,strict,94122,100,210,200,100,50,0.4,0.9,4,1,3,6,6,6,6,1,100,0,0
within a few hours,Potrero Hill,Apartment,Entire home/apt,Real Bed,strict,94107,100,210,200,100,75,1.07,0.8,3,1,1,1,6,19,279,27,100,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,92,210,200,130,20,0.47,0.93,4,1,2,0,0,0,0,13,83,0,0
within a few hours,Hayes Valley,Apartment,Entire home/apt,Real Bed,strict,94102,100,210,200,80,50,0.22,1,2,1,1,5,11,36,114,10,96,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,80,218,200,75,0,0.33,1,2,1,1,6,7,9,196,11,100,0,0
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,100,219,200,75,25,2.76,1,4,1,1,2,5,8,8,34,99,0,0
within a day,Nob Hill,Apartment,Entire home/apt,Real Bed,moderate,94109,80,219,200,75,35,0.38,1,4,1,2,0,0,0,118,8,95,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,moderate,94117,100,220,200,125,0,0.78,1,4,1,2,0,0,0,74,19,94,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94118,100,220,200,100,0,0.64,1,2,1,1,6,6,19,267,26,100,1,1
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,100,223,200,149,50,4.37,1,7,2,3,11,28,47,316,70,88,0,0
within an hour,Bayview,House,Entire home/apt,Real Bed,strict,94124,94,224,200,20,0,4.61,1,6,1,2,0,12,36,46,106,91,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,100,225,200,100,0,0.26,1,5,1,2,0,0,0,0,8,91,0,0
within a day,Balboa Terrace,Apartment,Entire home/apt,Real Bed,strict,94127,100,225,200,100,0,0.73,1,4,1,2,3,6,27,291,24,96,0,0
within an hour,Mission District,Condominium,Entire home/apt,Real Bed,strict,94103,100,225,200,60,25,3.34,1,3,1,1,3,16,29,218,76,96,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,moderate,94109,92,225,200,50,25,2.14,1,1,1,1,24,54,83,176,68,98,1,1
within a day,Hayes Valley,Apartment,Entire home/apt,Real Bed,strict,94102,100,225,200,50,0,2.35,1,2,1,1,7,7,7,189,63,98,0,0
within an hour,Hayes Valley,Apartment,Entire home/apt,Real Bed,moderate,94102,100,225,200,100,25,2.99,1,5,1,2,1,4,8,8,41,95,0,0
within an hour,Diamond Heights,Apartment,Entire home/apt,Real Bed,strict,94131,99,230,200,110,15,1.13,1,4,1.5,2,2,8,11,260,69,93,1,1
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94109,90,230,200,90,25,0.82,1,2,1,0,18,48,78,353,37,92,0,0
within an hour,Outer Sunset,House,Entire home/apt,Real Bed,strict,94116,100,235,200,100,0,0.86,1,8,1,3,0,0,0,147,6,70,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,96,235,200,75,0,3.97,1,2,1,0,5,18,37,303,74,99,0,0
within an hour,Richmond District,House,Entire home/apt,Real Bed,moderate,94118,100,235,200,75,25,1,1,5,1,3,5,17,37,117,1,100,0,0
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,71,235,200,100,0,1.42,1,2,1,2,0,24,50,318,50,96,0,0
within a few hours,Excelsior,House,Entire home/apt,Real Bed,strict,94112,55,240,200,75,30,2.05,1,8,2,4,4,6,9,222,10,90,0,0
within a few hours,Marina,Apartment,Entire home/apt,Real Bed,strict,94123,75,240,200,125,20,0.62,1,2,1,0,0,20,26,264,29,96,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,38,245,200,110,0,1.9,1,4,1.5,2,11,29,59,96,65,93,1,1
within an hour,Mission Terrace,House,Entire home/apt,Real Bed,strict,94112,100,245,200,125,25,3.96,1,8,1.5,3,2,15,40,103,193,96,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,strict,94117,100,245,200,60,0,5.14,1,3,1,1,9,28,37,298,187,96,0,0
within a few hours,Cole Valley,Apartment,Entire home/apt,Real Bed,strict,94117,86,250,200,100,50,3.04,1,4,1,1,10,35,65,336,120,97,0,0
within an hour,Mission Terrace,Apartment,Entire home/apt,Real Bed,strict,94131,25,250,200,75,10,0.79,1,2,1,1,27,57,87,362,39,95,1,1
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,100,250,200,99,15,4.45,0.86,12,2,2,0,3,9,224,125,82,0,0
within a few hours,Richmond District,House,Entire home/apt,Real Bed,strict,94118,96,250,200,50,25,0.56,1,4,1,2,0,0,0,0,2,100,0,0
within an hour,Cow Hollow,House,Entire home/apt,Real Bed,strict,94123,100,250,200,113,25,2.69,1,4,1,2,12,33,63,96,72,91,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94114,93,250,200,100,0,0.84,0.9,4,1,2,0,6,36,311,26,94,0,0
within a few hours,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,100,250,200,100,0,0.21,1,4,1,2,0,0,2,4,5,96,0,0
within an hour,Duboce Triangle,House,Entire home/apt,Real Bed,moderate,94117,100,250,200,100,0,0.24,1,4,2,3,7,7,7,7,7,100,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94115,71,250,200,75,0,0.79,1,3,1,1,4,19,49,324,14,89,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,92,255,200,108,0,0.12,0.93,5,1,2,0,0,0,0,4,99,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,100,259,200,120,25,4.85,1,8,2,3,8,23,47,308,22,95,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,100,265,200,60,0,4.78,1,5,1,2,3,12,36,305,18,92,0,0
within an hour,Visitacion Valley,House,Entire home/apt,Real Bed,moderate,94134,100,275,200,100,30,0.33,1,4,2,2,7,7,7,251,2,90,0,0
within a day,Telegraph Hill,Apartment,Entire home/apt,Real Bed,moderate,94111,96,275,200,83,0,2.55,0.93,4,1,2,0,0,0,0,56,90,0,0
within an hour,Richmond District,House,Entire home/apt,Real Bed,strict,94118,100,289,200,125,25,4,1,6,1,2,2,12,25,127,4,100,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,flexible,94109,85,295,200,60,50,2.63,1,4,1,1,5,20,35,113,121,96,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,flexible,94109,73,295,200,60,0,1.15,1,4,1,1,9,20,39,310,5,84,0,0
within an hour,Outer Sunset,House,Entire home/apt,Real Bed,moderate,94122,92,299,200,100,25,2.61,1,8,1,2,11,25,55,324,31,95,0,0
within an hour,Lincoln Park,Apartment,Entire home/apt,Real Bed,strict,94110,92,300,200,150,10,0.32,1,6,1,2,0,0,0,171,9,96,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94118,100,300,200,120,25,5.57,1,8,2,3,9,22,38,294,72,87,0,0
within a few hours,Twin Peaks,Apartment,Entire home/apt,Real Bed,strict,94131,88,300,200,99,0,3.9,1,4,1,2,3,17,38,127,10,96,0,0
within an hour,SoMa,Apartment,Entire home/apt,Real Bed,moderate,94107,100,311,200,70,0,2.56,0.89,4,2,1,0,17,47,322,102,96,0,1
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,100,315,200,100,0,1.11,1,4,1,2,7,19,32,32,59,98,0,1
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,flexible,94114,100,325,200,85,0,0.14,1,4,2,2,0,0,0,223,5,100,0,0
within a few hours,Excelsior,House,Entire home/apt,Real Bed,strict,94134,100,325,200,145,0,1.76,1,9,2,4,3,12,23,275,27,93,1,1
within an hour,Pacific Heights,Apartment,Entire home/apt,Real Bed,strict,94115,100,330,200,90,0,2.73,1,4,2,2,0,3,14,41,19,98,0,0
within an hour,Sunnyside,Apartment,Entire home/apt,Real Bed,strict,94131,96,380,200,120,15,0.79,0.97,7,2,3,2,5,10,277,19,94,0,0
within a few hours,Inner Sunset,House,Entire home/apt,Real Bed,moderate,94122,100,380,200,100,0,1.83,1,6,1.5,3,4,7,19,101,19,99,0,0
within a day,Tenderloin,Apartment,Entire home/apt,Real Bed,flexible,94103,50,400,200,50,0,0.55,0.8,5,1,2,0,0,0,221,17,95,0,0
within an hour,SoMa,Apartment,Entire home/apt,Real Bed,strict,94107,46,401,200,199,20,0.96,1,6,2,2,20,43,73,348,4,95,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94114,50,405,200,80,0,0.52,0.9,4,1,2,11,24,32,282,19,94,0,0
within a few hours,SoMa,Apartment,Entire home/apt,Real Bed,strict,94107,33,417,200,89,0,0.44,0.9,4,1,1,30,60,90,365,6,93,0,0
within a day,Richmond District,House,Entire home/apt,Real Bed,flexible,94118,33,450,200,100,0,0.35,0.86,8,3.5,5,0,7,7,7,8,93,0,0
within an hour,Parkside,House,Entire home/apt,Real Bed,moderate,94116,96,479,200,60,0,2.11,1,12,2,4,2,10,11,242,33,98,0,0
within an hour,South Beach,Apartment,Entire home/apt,Real Bed,strict,94107,61,520,200,100,0,1.51,1,5,1,2,28,58,88,121,15,99,0,0
within an hour,Outer Sunset,House,Entire home/apt,Real Bed,strict,94122,92,520,200,175,25,0.16,1,14,2,4,12,26,56,325,1,100,0,0
within an hour,Haight-Ashbury,House,Private room,Real Bed,moderate,94117,99,53,200,15,0,5.03,1,1,2,1,3,7,11,281,196,89,0,0
within a few hours,Balboa Terrace,House,Private room,Real Bed,strict,94112,75,56,200,60,0,0.27,1,1,1.5,1,30,60,90,190,3,80,0,0
within a day,Oceanview,House,Private room,Real Bed,strict,94132,100,57,200,30,0,2,1,2,1,1,0,2,2,2,2,70,0,0
within an hour,Portola,House,Private room,Real Bed,flexible,94134,99,58,200,30,20,8.3,1,2,0,1,3,5,22,103,13,100,0,0
within an hour,Portola,House,Private room,Real Bed,moderate,94134,99,58,200,30,20,5.85,1,2,0,1,7,23,47,133,8,100,0,0
within an hour,West Valley,House,Private room,Real Bed,strict,94103,98,59,200,45,50,3.27,1,5,1,1,22,22,22,22,6,80,0,0
within an hour,Excelsior,Apartment,Private room,Real Bed,strict,94112,100,60,200,50,0,1.19,1,1,1,1,2,16,46,321,22,98,0,0
within an hour,Outer Sunset,House,Private room,Real Bed,moderate,94122,98,60,200,40,0,0.73,1,1,1,1,9,36,66,238,8,83,0,0
