host_response_time,host_neighbourhood,property_type,room_type,bed_type,cancellation_policy,zipcode,host_acceptance_rate,price,security_deposit,cleaning_fee,extra_people,reviews_per_month,host_response_rate,accommodates,bathrooms,bedrooms,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,require_guest_profile_picture,require_guest_phone_verification
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,0.83,179,300,100,0,0.23,0.9,4,1,2,0,0,0,0,11,98,0,0
within an hour,Ralph Bunche/McClymonds,House,Private room,Real Bed,moderate,94110,1,144,0,0,0,0,1,2,3.5,1,25,55,85,360,0,0,0,0
within an hour,Ralph Bunche/McClymonds,House,Private room,Real Bed,moderate,94110,1,145,0,25,10,0,1,2,3.5,1,25,55,85,360,0,0,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,moderate,94114,1,150,100,25,0,0.28,1,2,1,1,29,55,85,344,7,94,0,0
within an hour,Ralph Bunche/McClymonds,House,Private room,Real Bed,moderate,94110,1,139,0,20,0,0,1,2,3.5,1,25,55,85,360,0,0,0,0
within an hour,Noe Valley,House,Private room,Real Bed,flexible,94114,1,110,250,35,0,0,1,2,0,1,0,0,0,0,0,0,0,0
within a few hours,Telegraph Hill,Apartment,Entire home/apt,Real Bed,strict,94114,1,165,500,75,0,0.6,1,4,1,1,4,4,33,103,25,94,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94114,1,248,300,75,0,2.61,1,3,1,1,6,12,34,305,6,93,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,0.94,140,250,80,50,3.75,1,4,1,0,0,0,0,0,22,95,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,120,0,50,20,0.23,1,2,1,1,0,16,17,17,4,100,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,0.83,130,0,65,20,2.13,0.8,2,1,1,3,25,51,126,113,93,1,1
within a few hours,Retiro,Apartment,Entire home/apt,Real Bed,moderate,94110,1,190,750,90,50,0.16,1,4,1,3,0,0,0,0,2,90,0,0
within an hour,Noe Valley,House,Private room,Real Bed,strict,94131,1,119,150,40,0,5.39,1,2,1,1,4,8,22,45,55,98,0,0
within an hour,Noe Valley,House,Private room,Real Bed,strict,94114,0.93,115,0,20,0,3.34,1,2,1,1,0,0,24,299,163,95,0,1
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,1,200,500,54,0,4.77,1,4,1,1,1,6,20,135,51,98,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,200,500,80,0,0.53,0.75,4,1,1,1,3,3,3,6,96,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,moderate,94131,1,118,200,75,35,0.88,1,2,1,1,0,16,46,321,32,96,1,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94131,1,99,0,25,0,2.51,0.8,2,3.5,1,5,12,19,272,187,95,0,0
within a few hours,Union Square,Apartment,Entire home/apt,Real Bed,strict,94114,0.78,189,400,94,0,1,1,4,1,1,0,9,29,300,1,80,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,0.8,210,0,50,0,2,0.82,3,1,1,15,35,65,340,2,100,0,0
within an hour,Noe Valley,House,Private room,Real Bed,flexible,94131,1,105,0,20,0,1.02,1,2,1,1,0,0,0,0,3,87,0,0
within an hour,Pacifica,Apartment,Entire home/apt,Real Bed,super_strict_30,94114,0.66,225,0,155,50,0.08,0.98,2,2,1,2,29,59,334,1,60,0,0
within a day,Richmond District,House,Private room,Real Bed,flexible,94114,0.78,120,0,0,0,0,0.93,1,1,1,30,60,90,365,0,0,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,strict,94110,1,300,500,0,0,0,1,2,1,1,0,30,60,335,0,0,0,0
within an hour,Noe Valley,Condominium,Entire home/apt,Real Bed,strict,94131,1,250,0,0,0,0,1,4,2,2,2,2,2,2,0,0,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,0,225,500,75,0,0.73,1,5,1,2,0,2,2,165,8,100,0,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94114,1,126,0,75,0,1.91,0.85,1,1,1,0,4,34,274,30,95,0,0
within an hour,Nob Hill,Apartment,Private room,Real Bed,strict,94114,0.92,100,100,79,0,0,0.93,2,1,1,0,0,0,0,0,0,0,0
within a few hours,The Castro,Condominium,Entire home/apt,Real Bed,flexible,94114,0.88,349,300,150,0,1.44,1,4,1,2,16,34,64,66,17,95,0,0
within a few hours,Diamond Heights,House,Entire home/apt,Real Bed,moderate,94131,0.96,350,0,0,0,0.91,1,6,1.5,3,9,13,13,13,1,100,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,strict,94114,0.97,95,300,50,0,2.91,1,2,1,1,1,3,7,264,13,97,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,249,500,80,0,2.81,1,2,1,0,6,27,54,319,74,95,0,0
within a day,Richmond District,Apartment,Private room,Real Bed,flexible,94114,0.78,100,0,0,0,0.19,0.93,1,2,1,30,60,90,365,1,100,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,flexible,94110,1,72,0,50,0,1.1,1,1,1,1,10,27,57,147,28,85,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,195,400,80,35,1.03,1,3,1,1,7,16,38,302,37,99,0,0
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,1,200,500,150,25,1.24,1,4,1,1,1,31,61,336,69,99,1,1
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,flexible,94114,1,325,200,85,0,0.14,1,4,2,2,0,0,0,223,5,100,0,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94114,0.58,200,0,70,100,0.36,1,2,1,1,30,60,90,365,5,100,0,0
within a few hours,Diamond Heights,House,Private room,Real Bed,moderate,94131,0.96,93,0,0,0,3.37,1,2,1.5,1,0,2,10,93,115,96,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,"1,000.00",500,199,0,0,1,8,2.5,4,13,19,19,37,0,0,0,0
within an hour,Kihei/Wailea,Condominium,Private room,Real Bed,strict,94131,1,99,200,50,0,3.13,1,2,1,1,2,9,9,9,25,94,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,1,265,0,51,0,1.16,1,2,1,0,8,38,68,343,13,97,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,1,250,500,125,20,4.49,1,6,2,2,10,33,63,318,37,96,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,150,300,100,0,1.15,0.83,2,1,0,6,28,54,323,28,85,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,0.83,245,0,120,100,0.41,0.67,4,1,2,0,10,40,86,5,84,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94114,0.6,250,350,50,0,1.15,0.8,4,1,2,5,5,31,31,40,98,1,1
within an hour,Noe Valley,Apartment,Private room,Real Bed,flexible,94114,1,170,0,10,0,0.3,1,1,1,1,27,27,28,28,14,91,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,0.5,375,0,100,0,0.14,1,6,2,3,0,1,1,246,1,100,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,moderate,94131,1,250,250,125,30,0.27,1,4,1,2,1,1,1,183,7,94,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,1,125,0,25,0,6.86,1,2,1,0,0,10,19,285,32,97,0,0
within a few hours,Noe Valley,Apartment,Private room,Real Bed,strict,94114,0.97,165,0,85,25,4.08,0.92,6,1,1,4,14,29,298,94,98,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,1,450,700,100,0,0.08,1,6,3.5,4,3,4,4,4,3,100,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,300,0,85,25,5.11,1,4,1,2,19,37,67,331,8,100,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,204,750,150,25,1.34,1,4,2,2,16,46,76,351,17,95,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,0.96,140,0,40,30,4.64,1,4,1,1,0,8,29,298,90,94,0,0
a few days or more,Noe Valley,House,Private room,Real Bed,flexible,94114,0.8,80,0,0,0,1,0.36,1,1,1,4,28,58,58,1,100,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,flexible,94114,0.95,115,0,30,0,3.93,1,2,1,1,8,8,8,8,14,99,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,1,135,0,100,35,6.82,1,3,1,0,6,13,34,124,10,96,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,650,500,200,50,2.52,1,10,2,4,9,19,36,208,68,98,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,1,165,500,100,0,2.92,1,6,1.5,2,0,0,21,160,96,96,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,flexible,94114,1,146,600,50,0,2.39,1,2,1,1,22,39,69,344,30,95,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,moderate,94114,0,95,100,15,50,0.03,1,2,1,1,0,0,0,243,1,86,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,0.97,375,300,100,0,0.52,1,6,2,4,1,5,5,241,5,100,0,0
within a day,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,0.54,125,0,50,0,1.48,1,2,1,1,3,12,36,36,9,98,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,0.95,145,150,50,0,1.42,1,2,1,1,24,41,71,312,41,94,0,1
within an hour,Noe Valley,Condominium,Entire home/apt,Real Bed,moderate,94110,1,495,500,175,50,1.15,1,9,2,4,11,34,53,324,62,95,1,1
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,0.67,450,500,150,0,0.7,0.9,8,3,4,0,3,3,70,23,97,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,600,500,160,0,0.44,1,6,3.5,4,5,7,7,17,11,100,0,0
within a few hours,Glen Park,House,Entire home/apt,Real Bed,moderate,94131,1,160,300,125,10,0.08,0.86,5,1,2,0,0,0,68,4,95,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,moderate,94131,0.92,125,0,30,0,3.63,1,2,1,1,1,3,6,205,230,98,0,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94131,1,95,0,0,20,1,1,2,2,1,2,2,32,307,1,100,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,1,89,0,0,100,1.15,1,1,0.5,1,0,18,36,311,57,92,0,0
within an hour,Noe Valley,House,Private room,Real Bed,strict,94114,0.93,125,0,20,0,3.23,1,2,1,1,0,0,0,210,162,94,0,1
within an hour,Noe Valley,House,Private room,Real Bed,flexible,94131,1,85,0,20,0,9.2,1,2,0,1,0,2,3,3,27,91,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,0.95,100,100,25,0,2.6,1,1,1,1,0,16,42,105,122,97,0,1
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,150,0,75,50,3.11,0.85,2,1,1,3,9,15,203,39,95,0,0
within an hour,Ralph Bunche/McClymonds,House,Private room,Real Bed,flexible,94110,1,133,0,20,0,0,1,2,3.5,1,13,43,73,348,0,0,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,flexible,94114,1,175,0,25,0,1.18,1,2,1,1,26,56,86,361,11,98,0,0
within a day,Noe Valley,Condominium,Entire home/apt,Real Bed,strict,94131,1,180,300,120,20,0.61,0.89,4,1,1,21,39,69,337,2,100,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,flexible,94114,0.95,275,250,25,0,0,1,4,1,1,0,0,0,182,0,0,0,0
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,1,240,0,80,25,8.14,1,5,1,2,1,3,5,174,51,98,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,0.83,99,135,60,0,5.87,0.9,2,1,1,1,8,12,273,281,96,0,0
within a few hours,Noe Valley,Apartment,Private room,Real Bed,strict,94114,0.6,136,500,65,25,0.24,1,2,1,1,29,59,89,89,3,93,0,0
within an hour,The Castro,House,Private room,Real Bed,moderate,94114,0.92,100,0,45,0,2.35,0.93,3,1,1,8,8,8,8,9,98,0,0
within a few hours,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,1,200,0,50,0,5.54,1,2,1,1,2,16,43,136,17,95,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,1,105,450,45,0,1.83,1,2,1.5,1,4,15,19,255,32,91,0,0
within a day,Noe Valley,Condominium,Entire home/apt,Real Bed,moderate,94131,0.5,300,0,0,0,0,1,5,2.5,3,0,1,1,1,0,0,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,flexible,94131,1,400,500,90,0,0,1,6,2,3,14,14,14,14,0,0,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,flexible,94110,0.75,120,0,0,0,1,1,2,1,1,0,0,0,0,1,100,0,0
within a day,Richmond District,House,Private room,Real Bed,flexible,94114,0.78,100,0,0,0,0,0.93,1,2,1,30,60,90,365,0,0,0,0
within an hour,Noe Valley,Condominium,Private room,Real Bed,moderate,94110,0.88,125,100,40,0,0.95,1,2,1.5,1,0,0,0,0,11,100,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,1,150,0,85,50,1,1,2,1,1,7,22,23,31,1,100,0,0
within a day,The Castro,Apartment,Private room,Real Bed,strict,94114,0.89,165,100,15,25,3.22,0.9,2,1.5,1,18,29,49,319,52,98,0,0
within a few hours,Mission District,Apartment,Private room,Real Bed,moderate,94114,1,140,200,80,0,0.86,1,1,1,1,13,43,73,348,18,97,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,moderate,94114,1,158,95,100,20,1.14,0.91,2,1,1,8,30,60,335,14,97,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,189,300,99,175,1.36,1,5,2,1,30,60,90,365,63,99,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,strict,94114,0.97,70,300,25,0,4.03,1,1,1,1,0,5,9,244,38,98,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,0.95,100,100,25,0,0.54,1,1,1,1,0,0,25,292,11,93,0,1
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94114,1,248,300,75,0,2.41,1,3,1,1,7,33,52,323,7,94,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,1,725,500,200,0,0,0.75,5,4,3,0,0,0,0,0,0,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94131,1,435,500,125,0,0.04,1,4,2,2,0,0,0,0,1,100,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,0,400,300,125,0,0.15,1,6,2,3,5,5,5,159,7,97,0,0
within an hour,The Castro,House,Private room,Real Bed,flexible,94114,1,149,0,40,0,0.16,1,2,1,1,10,23,53,143,3,93,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,moderate,94114,1,159,0,35,20,0.58,0.78,2,1,1,2,6,7,253,29,97,0,0
within a few hours,Tenderloin,House,Entire home/apt,Real Bed,strict,94114,0.88,200,500,250,0,0,0.82,4,1,2,11,41,71,346,0,0,1,1
within a day,Noe Valley,House,Entire home/apt,Real Bed,flexible,94114,1,900,0,0,0,0,1,6,2,2,9,9,9,191,0,0,0,0
within a few hours,The Castro,House,Private room,Real Bed,flexible,94114,1,149,0,20,0,5.23,1,2,1,1,24,54,84,359,162,98,0,0
a few days or more,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,0.5,250,300,100,0,0.2,0.4,4,1,2,12,15,19,77,2,90,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,0.67,400,700,130,25,0.67,1,4,1,2,19,49,79,354,33,95,0,0
within an hour,Noe Valley,House,Private room,Real Bed,strict,94114,0.86,75,500,50,25,0.69,1,2,2,1,1,1,1,244,7,94,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,219,400,95,10,2.92,1,4,1,1,6,9,11,255,55,98,0,0
within a few hours,The Castro,House,Entire home/apt,Real Bed,moderate,94114,0.93,700,0,0,0,2,1,7,4.5,4,12,34,64,138,2,80,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,260,500,120,40,0.61,0.7,6,1,3,1,3,3,3,1,100,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94110,1,250,0,150,0,0.34,0.8,5,2,3,0,0,0,0,4,95,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,1,225,0,25,0,9.37,0.96,6,2,2,1,12,38,67,119,87,0,0
within an hour,Noe Valley,House,Private room,Real Bed,flexible,94131,1,85,0,20,0,6.42,1,2,1,1,0,1,1,1,46,95,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,400,700,175,0,0.22,1,5,2.5,3,5,7,7,178,8,97,0,0
a few days or more,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,1,119,0,40,0,8,0.43,4,1,1,2,14,15,15,96,86,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94131,1,245,0,0,30,3.52,1,3,1,1,19,47,73,348,34,98,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,moderate,94114,1,128,0,45,20,4.11,0.9,2,1.5,1,22,46,76,351,108,81,0,0
a few days or more,Noe Valley,Apartment,Private room,Real Bed,moderate,94131,1,135,500,25,75,1.5,0.33,1,1,1,20,50,80,170,42,99,0,0
within a few hours,Noe Valley,Apartment,Private room,Real Bed,strict,94114,1,110,150,46,0,0.72,0.9,2,1,1,0,11,41,316,2,80,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,279,0,0,0,1.98,1,4,1,1,7,16,42,310,25,99,0,0
within an hour,Pacifica,Apartment,Entire home/apt,Real Bed,super_strict_30,94110,0.66,175,0,100,50,0.18,0.98,2,1,1,0,25,55,330,11,100,0,0
within a day,Noe Valley,House,Private room,Real Bed,moderate,94131,1,119,200,50,30,1.43,1,2,1,1,3,23,43,312,51,93,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,0.9,245,250,75,25,2.37,0.8,4,1,2,2,12,13,251,112,94,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,1,150,400,95,20,0.5,1,4,1,1,1,1,5,149,2,100,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,155,0,60,25,1.67,1,2,1,0,7,8,18,247,45,97,0,0
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,1,139,300,100,0,2.97,1,2,1,1,0,0,0,56,78,94,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94114,1,200,0,125,0,0.91,1,2,1,1,15,18,48,323,1,80,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,moderate,94114,0.58,640,0,150,150,1.74,1,6,2,3,30,60,90,365,20,98,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,strict,94114,1,110,150,46,0,0.27,0.9,2,1,1,7,7,7,156,3,100,0,0
within an hour,The Castro,House,Private room,Pull-out Sofa,flexible,94114,0.97,79,200,0,30,3.4,1,2,1,1,7,25,55,55,80,95,0,0
within a day,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,0.71,195,750,100,0,0.24,1,2,1,1,0,0,0,243,8,94,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,strict,94114,0.97,110,300,50,0,3.71,1,2,1,1,0,3,12,98,22,97,0,0
within a few hours,Mission District,House,Private room,Real Bed,strict,94114,1,134,300,60,0,1.58,0.9,2,1,1,21,44,74,349,9,100,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,225,0,125,0,2.79,1,4,2,2,6,15,25,294,19,93,0,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94114,1,99,0,50,50,1.75,0.85,2,1,1,0,10,11,67,31,94,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,195,500,80,0,0.51,1,6,2,3,0,0,0,0,3,100,0,0
within an hour,Noe Valley,House,Private room,Real Bed,strict,94131,0.56,48,500,46,0,1.31,1,2,1,1,0,0,3,3,14,97,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,675,775,250,225,0,1,6,1,2,29,48,78,353,0,0,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94131,1,189,300,100,0,0.66,1,2,1,1,3,22,36,307,9,84,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,moderate,94131,1,135,300,54,0,2.52,1,2,1,0,0,12,15,273,64,99,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94114,1,248,300,75,0,1.29,1,3,1,1,0,21,50,321,4,100,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,300,500,150,35,1.65,1,4,1,2,16,26,52,306,22,99,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,1,150,400,95,20,0.48,1,4,1,1,0,6,6,150,2,90,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,350,500,130,0,0.29,1,6,2,3,2,2,2,2,4,100,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,139,500,60,25,3.3,1,4,1,1,0,8,24,48,23,96,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Futon,moderate,94110,1,148,200,0,20,1.38,1,4,1,2,0,0,0,0,10,94,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,0.57,180,500,100,0,0.22,0.9,3,1,1,30,60,90,365,15,98,0,0
within a day,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,0.89,399,400,185,0,2.18,0.9,6,2,3,2,8,17,81,108,98,0,0
a few days or more,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94114,0.47,105,0,60,0,1.32,0.42,2,1,1,0,0,10,10,9,93,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,165,0,75,50,2.57,1,2,1,1,0,15,24,284,38,92,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,0.83,158,250,75,0,1.42,0.8,2,1,1,15,39,69,69,50,97,1,1
within an hour,The Castro,Apartment,Private room,Real Bed,moderate,94114,1,100,0,0,0,0,1,2,1,1,0,1,8,283,0,0,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,flexible,94131,1,180,0,0,0,0.46,1,2,1,1,0,0,0,0,1,100,0,0
within an hour,Noe Valley,House,Private room,Real Bed,flexible,94131,1,78,0,0,15,0,1,2,2,1,0,0,30,305,0,0,0,0
within an hour,Noe Valley,House,Private room,Real Bed,flexible,94114,1,126,0,40,10,5.23,1,2,1,1,3,16,46,46,52,94,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94114,0.67,275,500,100,25,0.83,1,3,1,1,0,0,0,203,30,94,1,1
within an hour,Pacifica,Apartment,Entire home/apt,Real Bed,super_strict_30,94131,0.66,150,0,155,50,0.22,0.98,2,1,1,30,60,90,365,10,83,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,0.75,150,0,65,20,0.22,1,4,1,1,4,8,13,198,2,90,0,0
within a day,Noe Valley,Apartment,Private room,Real Bed,flexible,94131,0,88,0,28,15,0,1,2,1,1,6,6,6,6,0,0,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,flexible,94131,1,84,200,10,0,4.09,1,1,1,1,0,5,12,261,33,98,0,0
within an hour,The Castro,House,Private room,Real Bed,moderate,94114,1,135,350,40,0,2.17,1,1,1,1,6,32,62,318,28,98,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,strict,94110,1,190,0,100,20,0,1,3,1,1,6,20,29,29,0,0,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,0.96,575,300,160,25,0.46,1,8,2.5,3,1,1,23,289,9,98,0,0
within an hour,Noe Valley,Condominium,Private room,Real Bed,moderate,94110,1,325,300,50,0,0.2,1,7,2,1,0,0,0,0,2,90,1,1
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,flexible,94110,0,450,0,0,0,0,0.67,4,1,2,0,0,0,0,0,0,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,1,259,0,125,20,1.41,1,5,1,2,6,8,21,285,52,94,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,1,145,100,69,0,2.41,1,2,1,1,8,12,36,119,25,86,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94114,1,250,0,75,0,1.31,1,4,1,2,0,0,0,28,32,96,0,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94114,1,185,175,125,125,0.22,1,2,1,1,30,49,79,354,5,100,0,0
within a day,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94131,1,225,500,100,0,0,0.67,5,1,2,0,0,0,0,0,0,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94114,1,250,300,125,0,0.17,0.8,6,2.5,2,3,6,10,247,3,100,0,0
within an hour,Noe Valley,House,Entire home/apt,Real Bed,moderate,94114,1,300,400,120,25,3.31,1,7,1,2,9,19,39,310,16,100,0,0
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,1,145,450,65,25,2.3,1,4,1.5,1,2,7,8,244,45,92,0,0
within an hour,Glen Park,Apartment,Private room,Futon,strict,94131,0.96,65,0,35,0,3.08,1,1,1,1,15,45,75,320,53,97,0,0
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,0.6,295,750,110,40,0.69,1,4,1,2,26,50,80,345,8,90,0,0
within an hour,Noe Valley,House,Private room,Real Bed,moderate,94110,1,109,200,25,25,3.17,1,2,1,1,1,10,18,18,37,97,0,0
within an hour,Noe Valley,House,Private room,Real Bed,strict,94114,1,175,0,75,0,0.11,0.85,1,1,1,0,0,0,0,1,100,0,0
within a day,Diamond Heights,Condominium,Entire home/apt,Real Bed,flexible,94131,1,300,300,100,0,0,1,5,2,3,0,9,9,9,0,0,0,0
within a few hours,Noe Valley,House,Entire home/apt,Real Bed,strict,94131,1,179,0,55,50,3.3,1,3,1,1,9,30,40,295,161,97,0,1
within an hour,Noe Valley,House,Entire home/apt,Real Bed,moderate,94114,1,200,300,90,25,2.77,1,5,1,1,10,22,47,306,125,95,0,0
within a day,Noe Valley,House,Entire home/apt,Real Bed,flexible,94114,1,350,0,50,0,0,1,6,1.5,3,2,2,18,18,0,0,0,0
a few days or more,Noe Valley,House,Entire home/apt,Real Bed,moderate,94131,0.67,479,0,150,0,0,0.4,6,2,3,0,2,29,304,0,0,0,0
within a day,The Castro,House,Entire home/apt,Real Bed,strict,94114,1,400,500,150,75,1.29,1,8,2,3,0,0,0,182,8,98,0,0
within a few hours,Twin Peaks,House,Private room,Real Bed,moderate,94131,1,100,300,45,15,2.76,0.92,2,1,1,6,22,49,49,9,100,0,0
